frame_size,page_fault,hit_rate,miss_rate
382,251.000000,0.749000,0.251000
383,251.000000,0.749000,0.251000
384,251.000000,0.749000,0.251000
385,251.000000,0.749000,0.251000
386,251.000000,0.749000,0.251000
387,251.000000,0.749000,0.251000
388,251.000000,0.749000,0.251000
389,251.000000,0.749000,0.251000
390,251.000000,0.749000,0.251000
391,251.000000,0.749000,0.251000
392,251.000000,0.749000,0.251000
393,251.000000,0.749000,0.251000
394,251.000000,0.749000,0.251000
395,251.000000,0.749000,0.251000
396,251.000000,0.749000,0.251000
397,251.000000,0.749000,0.251000
398,251.000000,0.749000,0.251000
399,251.000000,0.749000,0.251000
400,251.000000,0.749000,0.251000
401,251.000000,0.749000,0.251000
402,251.000000,0.749000,0.251000
403,251.000000,0.749000,0.251000
404,251.000000,0.749000,0.251000
405,251.000000,0.749000,0.251000
406,251.000000,0.749000,0.251000
407,251.000000,0.749000,0.251000
408,251.000000,0.749000,0.251000
409,251.000000,0.749000,0.251000
410,251.000000,0.749000,0.251000
411,251.000000,0.749000,0.251000
412,251.000000,0.749000,0.251000
413,251.000000,0.749000,0.251000
414,251.000000,0.749000,0.251000
415,251.000000,0.749000,0.251000
416,251.000000,0.749000,0.251000
417,251.000000,0.749000,0.251000
418,251.000000,0.749000,0.251000
419,251.000000,0.749000,0.251000
420,251.000000,0.749000,0.251000
421,251.000000,0.749000,0.251000
422,251.000000,0.749000,0.251000
423,251.000000,0.749000,0.251000
424,251.000000,0.749000,0.251000
425,251.000000,0.749000,0.251000
426,251.000000,0.749000,0.251000
427,251.000000,0.749000,0.251000
428,251.000000,0.749000,0.251000
429,251.000000,0.749000,0.251000
430,251.000000,0.749000,0.251000
431,251.000000,0.749000,0.251000
432,251.000000,0.749000,0.251000
433,251.000000,0.749000,0.251000
434,251.000000,0.749000,0.251000
435,251.000000,0.749000,0.251000
436,251.000000,0.749000,0.251000
437,251.000000,0.749000,0.251000
438,251.000000,0.749000,0.251000
439,251.000000,0.749000,0.251000
440,251.000000,0.749000,0.251000
441,251.000000,0.749000,0.251000
442,251.000000,0.749000,0.251000
443,251.000000,0.749000,0.251000
444,251.000000,0.749000,0.251000
445,251.000000,0.749000,0.251000
446,251.000000,0.749000,0.251000
447,251.000000,0.749000,0.251000
448,251.000000,0.749000,0.251000
449,251.000000,0.749000,0.251000
450,251.000000,0.749000,0.251000
451,251.000000,0.749000,0.251000
452,251.000000,0.749000,0.251000
453,251.000000,0.749000,0.251000
454,251.000000,0.749000,0.251000
455,251.000000,0.749000,0.251000
456,251.000000,0.749000,0.251000
457,251.000000,0.749000,0.251000
458,251.000000,0.749000,0.251000
459,251.000000,0.749000,0.251000
460,251.000000,0.749000,0.251000
461,251.000000,0.749000,0.251000
462,251.000000,0.749000,0.251000
463,251.000000,0.749000,0.251000
464,251.000000,0.749000,0.251000
465,251.000000,0.749000,0.251000
466,251.000000,0.749000,0.251000
467,251.000000,0.749000,0.251000
468,251.000000,0.749000,0.251000
469,251.000000,0.749000,0.251000
470,251.000000,0.749000,0.251000
471,251.000000,0.749000,0.251000
472,251.000000,0.749000,0.251000
473,251.000000,0.749000,0.251000
474,251.000000,0.749000,0.251000
475,251.000000,0.749000,0.251000
476,251.000000,0.749000,0.251000
477,251.000000,0.749000,0.251000
478,251.000000,0.749000,0.251000
479,251.000000,0.749000,0.251000
480,251.000000,0.749000,0.251000
481,251.000000,0.749000,0.251000
482,251.000000,0.749000,0.251000
483,251.000000,0.749000,0.251000
484,251.000000,0.749000,0.251000
485,251.000000,0.749000,0.251000
486,251.000000,0.749000,0.251000
487,251.000000,0.749000,0.251000
488,251.000000,0.749000,0.251000
489,251.000000,0.749000,0.251000
490,251.000000,0.749000,0.251000
491,251.000000,0.749000,0.251000
492,251.000000,0.749000,0.251000
493,251.000000,0.749000,0.251000
494,251.000000,0.749000,0.251000
495,251.000000,0.749000,0.251000
496,251.000000,0.749000,0.251000
497,251.000000,0.749000,0.251000
498,251.000000,0.749000,0.251000
499,251.000000,0.749000,0.251000
500,251.000000,0.749000,0.251000
501,251.000000,0.749000,0.251000
502,251.000000,0.749000,0.251000
503,251.000000,0.749000,0.251000
504,251.000000,0.749000,0.251000
505,251.000000,0.749000,0.251000
506,251.000000,0.749000,0.251000
507,251.000000,0.749000,0.251000
508,251.000000,0.749000,0.251000
509,251.000000,0.749000,0.251000
510,251.000000,0.749000,0.251000
511,251.000000,0.749000,0.251000
512,251.000000,0.749000,0.251000
513,251.000000,0.749000,0.251000
514,251.000000,0.749000,0.251000
515,251.000000,0.749000,0.251000
516,251.000000,0.749000,0.251000
517,251.000000,0.749000,0.251000
518,251.000000,0.749000,0.251000
519,251.000000,0.749000,0.251000
520,251.000000,0.749000,0.251000
521,251.000000,0.749000,0.251000
522,251.000000,0.749000,0.251000
523,251.000000,0.749000,0.251000
524,251.000000,0.749000,0.251000
525,251.000000,0.749000,0.251000
526,251.000000,0.749000,0.251000
527,251.000000,0.749000,0.251000
528,251.000000,0.749000,0.251000
529,251.000000,0.749000,0.251000
530,251.000000,0.749000,0.251000
531,251.000000,0.749000,0.251000
532,251.000000,0.749000,0.251000
533,251.000000,0.749000,0.251000
534,251.000000,0.749000,0.251000
535,251.000000,0.749000,0.251000
536,251.000000,0.749000,0.251000
537,251.000000,0.749000,0.251000
538,251.000000,0.749000,0.251000
539,251.000000,0.749000,0.251000
540,251.000000,0.749000,0.251000
541,251.000000,0.749000,0.251000
542,251.000000,0.749000,0.251000
543,251.000000,0.749000,0.251000
544,251.000000,0.749000,0.251000
545,251.000000,0.749000,0.251000
546,251.000000,0.749000,0.251000
547,251.000000,0.749000,0.251000
548,251.000000,0.749000,0.251000
549,251.000000,0.749000,0.251000
550,251.000000,0.749000,0.251000
551,251.000000,0.749000,0.251000
552,251.000000,0.749000,0.251000
553,251.000000,0.749000,0.251000
554,251.000000,0.749000,0.251000
555,251.000000,0.749000,0.251000
556,251.000000,0.749000,0.251000
557,251.000000,0.749000,0.251000
558,251.000000,0.749000,0.251000
559,251.000000,0.749000,0.251000
560,251.000000,0.749000,0.251000
561,251.000000,0.749000,0.251000
562,251.000000,0.749000,0.251000
563,251.000000,0.749000,0.251000
564,251.000000,0.749000,0.251000
565,251.000000,0.749000,0.251000
566,251.000000,0.749000,0.251000
567,251.000000,0.749000,0.251000
568,251.000000,0.749000,0.251000
569,251.000000,0.749000,0.251000
570,251.000000,0.749000,0.251000
571,251.000000,0.749000,0.251000
572,251.000000,0.749000,0.251000
573,251.000000,0.749000,0.251000
574,251.000000,0.749000,0.251000
575,251.000000,0.749000,0.251000
576,251.000000,0.749000,0.251000
577,251.000000,0.749000,0.251000
578,251.000000,0.749000,0.251000
579,251.000000,0.749000,0.251000
580,251.000000,0.749000,0.251000
581,251.000000,0.749000,0.251000
582,251.000000,0.749000,0.251000
583,251.000000,0.749000,0.251000
584,251.000000,0.749000,0.251000
585,251.000000,0.749000,0.251000
586,251.000000,0.749000,0.251000
587,251.000000,0.749000,0.251000
588,251.000000,0.749000,0.251000
589,251.000000,0.749000,0.251000
590,251.000000,0.749000,0.251000
591,251.000000,0.749000,0.251000
592,251.000000,0.749000,0.251000
593,251.000000,0.749000,0.251000
594,251.000000,0.749000,0.251000
595,251.000000,0.749000,0.251000
596,251.000000,0.749000,0.251000
